n_task	metric	correlation
6	variance	0.6773627047630016
6	variance_mc	0.6173860548991715
6	log_det_mc	0.6980723198235715
6	inverse_trace_mc	0.669953327137947
6	random	0.6133241792718052
6	variance	0.5927246444473875
6	variance_mc	0.6601508915085602
6	log_det_mc	0.6970086844641522
6	inverse_trace_mc	0.580450012971023
6	random	0.6524585338238836
6	variance	0.709949059854456
6	variance_mc	0.7016433839047661
6	log_det_mc	0.6767685167762815
6	inverse_trace_mc	0.6601439226136957
6	random	0.5018760212742495
6	variance	0.7089665958363792
6	variance_mc	0.6503691998497209
6	log_det_mc	0.6545057986052837
6	inverse_trace_mc	0.6321379057518529
6	random	0.4670084888569041
6	variance	0.5725101737280899
6	variance_mc	0.6286484304366123
6	log_det_mc	0.6752690184257727
6	inverse_trace_mc	0.6308910769882368
6	random	0.5673976906669206
6	variance	0.6532629331354568
6	variance_mc	0.7043655281581255
6	log_det_mc	0.7379623051290439
6	inverse_trace_mc	0.7466955221137755
6	random	0.5093804636663912
6	variance	0.6781209784823721
6	variance_mc	0.6749856097813586
6	log_det_mc	0.6707426986421574
6	inverse_trace_mc	0.6808052793946751
6	random	0.6541655842405383
6	variance	0.6436079613261786
6	variance_mc	0.6310093797845104
6	log_det_mc	0.7187184589141477
6	inverse_trace_mc	0.6625405723076766
6	random	0.5551829799082075
6	variance	0.7043264899838432
6	variance_mc	0.709105612158505
6	log_det_mc	0.6702607851001396
6	inverse_trace_mc	0.6654249006878687
6	random	0.5235584590517803
6	variance	0.6034656665754173
6	variance_mc	0.6628261029834258
6	log_det_mc	0.6199109481875004
6	inverse_trace_mc	0.6449968574334141
6	random	0.5904474849084917
6	variance	0.6746770808172968
6	variance_mc	0.6535254822561642
6	log_det_mc	0.7029973365601867
6	inverse_trace_mc	0.7368181460382824
6	random	0.4748965185099717
6	variance	0.5777115542864348
6	variance_mc	0.6821443413224545
6	log_det_mc	0.7059793817954909
6	inverse_trace_mc	0.6565355006478241
6	random	0.45093652008833535
6	variance	0.6061439653104138
6	variance_mc	0.6647206291244256
6	log_det_mc	0.6938919069053063
6	inverse_trace_mc	0.583251353530037
6	random	0.5915034223342329
6	variance	0.6985868081487392
6	variance_mc	0.7084998936342046
6	log_det_mc	0.691267358015244
6	inverse_trace_mc	0.6072499601386073
6	random	0.507341018922435
6	variance	0.5760320507408094
6	variance_mc	0.580021938628495
6	log_det_mc	0.6619296486768163
6	inverse_trace_mc	0.6540584613080697
6	random	0.5346063283914216
6	variance	0.6282964401667516
6	variance_mc	0.6042070278140296
6	log_det_mc	0.6464959669240753
6	inverse_trace_mc	0.6539114484015989
6	random	0.6244622659845488
6	variance	0.6216535226410271
6	variance_mc	0.6256944541002051
6	log_det_mc	0.5997204807468336
6	inverse_trace_mc	0.5961670360138333
6	random	0.5781009802718006
6	variance	0.6620631991662361
6	variance_mc	0.5944632772169769
6	log_det_mc	0.678524044718186
6	inverse_trace_mc	0.6685466348496929
6	random	0.5639026025349958
6	variance	0.6374121902104386
6	variance_mc	0.6499535425751309
6	log_det_mc	0.6663942413514028
6	inverse_trace_mc	0.6522220394657267
6	random	0.5350255073868047
6	variance	0.6399169726177676
6	variance_mc	0.6153477064418976
6	log_det_mc	0.7062822320160314
6	inverse_trace_mc	0.6221919507912421
6	random	0.503875068179011
6	variance	0.6359549325758262
