n_task	metric	accuracy
6	inverse_trace_mc	0.7633272813186476
6	random	0.7865063298014425
6	variance	0.7149935393837573
6	variance_mc	0.7744014317423196
6	log_det_mc	0.7814897415392432
6	inverse_trace_mc	0.7977158910602413
6	random	0.7730388641549729
6	variance	0.8184819628200313
6	variance_mc	0.8300765471053044
6	log_det_mc	0.8548535587025006
6	inverse_trace_mc	0.7753268869628978
6	random	0.796102337817965
6	variance	0.7256849928166952
6	variance_mc	0.8077571215414159
6	log_det_mc	0.7996409329341514
6	inverse_trace_mc	0.8277682413179678
6	random	0.6955451129082886
6	variance	0.7090341336606591
6	variance_mc	0.7096055243524759
6	log_det_mc	0.8039119268514461
6	inverse_trace_mc	0.8056748294856878
6	random	0.7117048555639196
6	variance	0.7821988431588173
6	variance_mc	0.7953230431829733
6	log_det_mc	0.8289807269340455
6	inverse_trace_mc	0.8218785685291264
6	random	0.8308251929787652
6	variance	0.7720892225016341
6	variance_mc	0.6283575648740488
6	log_det_mc	0.7565593168481057
6	inverse_trace_mc	0.7360903653201101
6	random	0.7592861133527842
6	variance	0.7477498689114773
6	variance_mc	0.7666745233893343
6	log_det_mc	0.8035899735796964
6	inverse_trace_mc	0.8121368286989994
6	random	0.6996491413428245
6	variance	0.7126614229851613
6	variance_mc	0.8010216555925411
6	log_det_mc	0.8244031132820098
6	inverse_trace_mc	0.8546543144875436
6	random	0.7534906414382156
6	variance	0.7654994117804133
6	variance_mc	0.7669251883006885
6	log_det_mc	0.7775954162099334
6	inverse_trace_mc	0.7782061299356355
6	random	0.7388473013605599
6	variance	0.7653946900976485
6	variance_mc	0.786878270302726
6	log_det_mc	0.7900428944932152
6	inverse_trace_mc	0.8348926508906642
6	random	0.6989522069702491
6	variance	0.7977265289470008
6	variance_mc	0.7496925174273241
6	log_det_mc	0.792917379000039
6	inverse_trace_mc	0.8062213267124481
6	random	0.836768078535582
6	variance	0.8060193393059122
6	variance_mc	0.8097104546815554
6	log_det_mc	0.7522603635410724
6	inverse_trace_mc	0.8108459089445035
6	random	0.7233620017542082
6	variance	0.809862453522214
6	variance_mc	0.8031213909377212
6	log_det_mc	0.7934609511304374
6	inverse_trace_mc	0.8053939364475167
6	random	0.8096471512248263
6	variance	0.8114598066258462
6	variance_mc	0.726785016808444
6	log_det_mc	0.78427324794744
6	inverse_trace_mc	0.774597088981285
6	random	0.6959193967559499
6	variance	0.7705643375538733
6	variance_mc	0.7739827841610193
6	log_det_mc	0.8344370266960889
6	inverse_trace_mc	0.8121430759662035
6	random	0.8092554658065304
6	variance	0.7133340875727486
6	variance_mc	0.7085500828514917
6	log_det_mc	0.7373047975891769
6	inverse_trace_mc	0.806324901668031
6	random	0.7491090673474577
6	variance	0.7609601292532023
6	variance_mc	0.7818846877962571
6	log_det_mc	0.7998247358884989
6	inverse_trace_mc	0.7901132719807464
6	random	0.7547626983479628
6	variance	0.8319074341714157
6	variance_mc	0.8051940593548322
6	log_det_mc	0.8259676503532142
6	inverse_trace_mc	0.8388243780914199
6	random	0.6610019428076077
6	variance	0.7601944383789028
6	variance_mc	0.7504022555340488
6	log_det_mc	0.8112984125410251
6	inverse_trace_mc	0.7734997180083885
6	random	0.7794953890703475
6	variance	0.7231214976013001
6	variance_mc	0.6564191568721646
6	log_det_mc	0.811576606045025
6	inverse_trace_mc	0.7985526789745776
6	random	0.7564836477971947
6	variance	0.7124597331115379
6	variance_mc	0.7068712176710605
6	log_det_mc	0.8234151243660546
6	inverse_trace_mc	0.8204851393496647
6	random	0.7311083147936369
6	variance	0.6237874624452004
6	variance_mc	0.6998752074311918
6	log_det_mc	0.7740935371396525
6	inverse_trace_mc	0.8187402982040928
6	random	0.7023265101902292
6	variance	0.7905825666667278
6	variance_mc	0.7373078184085656
6	log_det_mc	0.8093033108200824
6	inverse_trace_mc	0.7974060154762176
6	random	0.6686836741433572
6	variance	0.7242903071137899
6	variance_mc	0.7804912712738337
6	log_det_mc	0.8090201408602937
6	inverse_trace_mc	0.8165696727745833
6	random	0.7198210447497849
6	variance	0.7830664103164621
6	variance_mc	0.8056515661649993
6	log_det_mc	0.7552676946587257
6	inverse_trace_mc	0.8055348103495943
6	random	0.7843993581659241
6	variance	0.7021867506002508
6	variance_mc	0.669117380148133
6	log_det_mc	0.8011343408346978
6	inverse_trace_mc	0.8242218798151003
